sample	batch		value
32151640_EXO_S32	180322-190603	ultraShortReadsPerc	11.788019591974571
32151675_EXO_S28	180322-190603	ultraShortReadsPerc	15.07468407292781
32151681_EXO_S21	180322-190603	ultraShortReadsPerc	8.435948316550677
32151161_EXO_S19	180322-190603	ultraShortReadsPerc	5.890510889667778
32151113_EXO_S24	180322-190603	ultraShortReadsPerc	35.77404474251222
32140243_EXO_S2	180322-190603	ultraShortReadsPerc	13.500419993200014
32150300_EXO_S4	180322-190603	ultraShortReadsPerc	7.879107470564263
32151662_EXO_S25	180322-190603	ultraShortReadsPerc	25.572981475943525
32150296_EXO_S34	180322-190603	ultraShortReadsPerc	2.875427551896906
32151649_EXO_S7	180322-190603	ultraShortReadsPerc	4.323367647926505
32151808_EXO_S16	180322-190603	ultraShortReadsPerc	9.773686566436684
32152166_EXO_S8	180322-190603	ultraShortReadsPerc	3.610321091463666
32150759_EXO_S26	180322-190603	ultraShortReadsPerc	14.838166339089458
32151206_EXO_S12	180322-190603	ultraShortReadsPerc	7.448442197548718
32151872_EXO_S27	180322-190603	ultraShortReadsPerc	12.887778783344942
32152211_EXO_S35	180322-190603	ultraShortReadsPerc	5.393975862465433
32151109_EXO_S17	180322-190603	ultraShortReadsPerc	12.6350325061617
32152477_EXO_S29	180322-190603	ultraShortReadsPerc	9.058943783848546
32151201_EXO_S23	180322-190603	ultraShortReadsPerc	11.18650506410881
32141753_EXO_S10	180322-190603	ultraShortReadsPerc	10.34398261455405
32150101_EXO_S3	180322-190603	ultraShortReadsPerc	4.498608172212029
32151828_EXO_S15	180322-190603	ultraShortReadsPerc	4.024064073909392
32152118_EXO_S1	180322-190603	ultraShortReadsPerc	1.500055307955793
32151204_EXO_S9	180322-190603	ultraShortReadsPerc	11.52388883878847
32151684_EXO_S13	180322-190603	ultraShortReadsPerc	11.61414932606879
32150228_EXO_S18	180322-190603	ultraShortReadsPerc	5.875551300036559
32152206_EXO_S33	180322-190603	ultraShortReadsPerc	3.5855739407165537
32151642_EXO_S5	180322-190603	ultraShortReadsPerc	2.723712566688037
32151157_EXO_S31	180322-190603	ultraShortReadsPerc	5.375976469813848
32151086_EXO_S6	180322-190603	ultraShortReadsPerc	4.2231052981698
32150688_EXO_S20	180322-190603	ultraShortReadsPerc	8.207334690284352
32151947_EXO_S11	180322-190603	ultraShortReadsPerc	13.094452528177925
32151680_EXO_S22	180322-190603	ultraShortReadsPerc	8.28848344148335
32150301_EXO_S14	180322-190603	ultraShortReadsPerc	4.398967433917167
32150744_EXO_S30	180322-190603	ultraShortReadsPerc	8.652269462913527
32160475_EXO_S26	180626-180628-190531	ultraShortReadsPerc	25.035757159531826
32161242_EXO_S7	180626-180628-190531	ultraShortReadsPerc	27.846923889648558
32160187_EXO_S9	180626-180628-190531	ultraShortReadsPerc	30.769586163947803
32160696_EXO_S3	180626-180628-190531	ultraShortReadsPerc	20.458557847243892
32151244_EXO_S30	180626-180628-190531	ultraShortReadsPerc	20.760275053449103
32161406_EXO_S4	180626-180628-190531	ultraShortReadsPerc	19.197553053030912
32160790_EXO_S27	180626-180628-190531	ultraShortReadsPerc	28.12957843596544
32152197_EXO_S12	180626-180628-190531	ultraShortReadsPerc	34.37643406174413
32150184_EXO_S18	180626-180628-190531	ultraShortReadsPerc	24.363910046780727
32161462_EXO_S13	180626-180628-190531	ultraShortReadsPerc	32.41341171501478
32151184_EXO_S8	180626-180628-190531	ultraShortReadsPerc	24.485955478812343
32151974_EXO_S24	180626-180628-190531	ultraShortReadsPerc	13.178816946038404
32160074_EXO_S17	180626-180628-190531	ultraShortReadsPerc	29.085907224183792
32151031_EXO_S19	180626-180628-190531	ultraShortReadsPerc	29.028883356177456
32151484_EXO_S11	180626-180628-190531	ultraShortReadsPerc	29.25512706601635
32151694_EXO_S10	180626-180628-190531	ultraShortReadsPerc	29.107634022095436
32160668_EXO_S16	180626-180628-190531	ultraShortReadsPerc	27.3140560629732
32152356_EXO_S21	180626-180628-190531	ultraShortReadsPerc	32.85687565949246
32151971_EXO_S23	180626-180628-190531	ultraShortReadsPerc	27.889538698619223
32160196_EXO_S22	180626-180628-190531	ultraShortReadsPerc	18.727314177583743
32151750_EXO_S14	180626-180628-190531	ultraShortReadsPerc	30.017172605279004
32150887_EXO_S28	180626-180628-190531	ultraShortReadsPerc	20.467885413442666
32150225_EXO_S2	180626-180628-190531	ultraShortReadsPerc	23.213503757315618
32152444_EXO_S25	180626-180628-190531	ultraShortReadsPerc	29.858263439707905
32140237_EXO_S31	180626-180628-190531	ultraShortReadsPerc	28.606213323325477
32150168_EXO_S6	180626-180628-190531	ultraShortReadsPerc	23.64320014535753
32152194_EXO_S15	180626-180628-190531	ultraShortReadsPerc	26.363488004137732
32151686_EXO_S20	180626-180628-190531	ultraShortReadsPerc	19.0459307717345
32161248_EXO_S29	180626-180628-190531	ultraShortReadsPerc	27.62478535720337
32161349_EXO_S5	180626-180628-190531	ultraShortReadsPerc	22.180812780363013
32150855_EXO_S1	180626-180628-190531	ultraShortReadsPerc	21.983348119502278
32152388_EXO_S22	180726-190530	ultraShortReadsPerc	23.406365322654295
32170641_EXO_S35	180726-190530	ultraShortReadsPerc	20.445372699856332
32160652_EXO_S28	180726-190530	ultraShortReadsPerc	20.168968030038762
32152480_EXO_S3	180726-190530	ultraShortReadsPerc	18.778017473667262
32170419_EXO_S34	180726-190530	ultraShortReadsPerc	19.209230100761356
32160008_EXO_S24	180726-190530	ultraShortReadsPerc	16.503449185412258
32151370_EXO_S14	180726-190530	ultraShortReadsPerc	12.792425576114423
32150690_EXO_S2	180726-190530	ultraShortReadsPerc	16.010431752981702
32151510_EXO_S15	180726-190530	ultraShortReadsPerc	15.509004077933774
32160118_EXO_S26	180726-190530	ultraShortReadsPerc	15.284658667128456
32150162_EXO_S11	180726-190530	ultraShortReadsPerc	24.01343027686587
32151633_EXO_S16	180726-190530	ultraShortReadsPerc	20.33368159740378
32152263_EXO_S7	180726-190530	ultraShortReadsPerc	24.367967345915716
32152081_EXO_S18	180726-190530	ultraShortReadsPerc	18.16084082450924
32152276_EXO_S21	180726-190530	ultraShortReadsPerc	12.732114762611005
32160740_EXO_S29	180726-190530	ultraShortReadsPerc	15.832764850706926
32152259_EXO_S20	180726-190530	ultraShortReadsPerc	16.22578895335325
32160002_EXO_S23	180726-190530	ultraShortReadsPerc	24.005279386810855
32161448_EXO_S32	180726-190530	ultraShortReadsPerc	26.214818348844876
32152082_EXO_S19	180726-190530	ultraShortReadsPerc	15.580850870846263
32152019_EXO_S17	180726-190530	ultraShortReadsPerc	19.538687177690147
32161241_EXO_S31	180726-190530	ultraShortReadsPerc	20.930483986931193
32170071_EXO_S33	180726-190530	ultraShortReadsPerc	20.597698572977308
32141754_EXO_S5	180726-190530	ultraShortReadsPerc	13.372224688916566
32150091_EXO_S1	180726-190530	ultraShortReadsPerc	19.748606374963362
32160964_EXO_S30	180726-190530	ultraShortReadsPerc	23.416122277329254
32160619_EXO_S27	180726-190530	ultraShortReadsPerc	20.887073846548176
32151247_EXO_S13	180726-190530	ultraShortReadsPerc	25.3752459174538
32150880_EXO_S12	180726-190530	ultraShortReadsPerc	26.75434714863145
32151523_EXO_S6	180726-190530	ultraShortReadsPerc	24.31677458665278
32141765_EXO_S9	180726-190530	ultraShortReadsPerc	14.188318917085619
32150158_EXO_S10	180726-190530	ultraShortReadsPerc	21.499976877327917
32140235_EXO_S8	180726-190530	ultraShortReadsPerc	21.426703167280195
32160071_EXO_S25	180726-190530	ultraShortReadsPerc	17.81088947892673
32151648_EXO_S4	180726-190530	ultraShortReadsPerc	14.9165317442454
32152253_EXO_S33	180913-190529	ultraShortReadsPerc	68.86364198692414
32151859_EXO_S28	180913-190529	ultraShortReadsPerc	70.40437152070588
32150292_EXO_S9	180913-190529	ultraShortReadsPerc	13.852326115743965
32152341_EXO_S35	180913-190529	ultraShortReadsPerc	71.9113654442011
32151226_EXO_S21	180913-190529	ultraShortReadsPerc	21.926685596761367
32150013_EXO_S3	180913-190529	ultraShortReadsPerc	63.0903195615803
32150698_EXO_S12	180913-190529	ultraShortReadsPerc	24.346689982689398
32151984_EXO_S30	180913-190529	ultraShortReadsPerc	55.585610960243606
32152084_EXO_S31	180913-190529	ultraShortReadsPerc	64.08381711694629
